"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-10-31,"91709","CA","Riverside-San Bernardino-Ontario","San Bernardino County","Chino Hills",127,2371.56,0.005,0.0085,0.0025,24246
2019-10-31,"11215","NY","New York-Newark-Jersey City","Kings County","New York",128,2577.08,-0.0213,-0.0156,0.0442,25521
2019-10-31,"10452","NY","New York-Newark-Jersey City","Bronx County","New York",129,1863.88,0.0047,0.0611,0.1325,2188
2019-10-31,"60617","IL","Chicago-Naperville-Elgin","Cook County","Chicago",130,1218.45,-0.0054,-0.0047,-0.0058,21515
2019-10-31,"87114","NM","Albuquerque","Bernalillo County","Albuquerque",131,1214.21,0.0239,0.0426,0.0186,23252
2019-10-31,"32210","FL","Jacksonville","Duval County","Jacksonville",132,1127.17,0.026,0.0351,0.0587,22188
2019-10-31,"43081","OH","Columbus","Franklin County","Westerville",133,1338.34,0.0066,-0.0018,-0.0144,22451
2019-10-31,"94558","CA","Napa","Napa County","Napa",134,2939.37,0.0029,0.0091,0.0204,21587
2019-10-31,"90026","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",135,2812.04,-0.004,0.0055,0.0294,11119
2019-10-31,"76063","TX","Dallas-Fort Worth-Arlington","Tarrant County","Mansfield",136,1482.63,0.0252,0.0295,0.02,22701
2019-10-31,"77459","TX","Houston-The Woodlands-Sugar Land","Fort Bend County","Missouri City",137,1772.73,0.0194,0.0268,-0.0065,26802
2019-10-31,"91910","CA","San Diego-Carlsbad","San Diego County","Chula Vista",138,2454.8,0.0141,0.0241,0.0647,17143
2019-10-31,"27587","NC","Raleigh","Wake County","Wake Forest",139,1399.23,0.01,0.0087,-0.0023,26718
2019-10-31,"30040","GA","Atlanta-Sandy Springs-Roswell","Forsyth County","Cumming",140,1749.2,0.0094,0.0083,-0.0003,29614
2019-10-31,"93722","CA","Fresno","Fresno County","Fresno",141,1283.84,0.0069,0.0214,0.0444,22552
2019-10-31,"97229","OR","Portland-Vancouver-Hillsboro","Multnomah County","Portland",142,1717.99,0.0141,0.0143,0.0433,23135
2019-10-31,"06010","CT","Hartford-West Hartford-East Hartford","Hartford County","Bristol",143,1211.52,0.0172,0.0166,0.002,39100
2019-10-31,"17603","PA","Lancaster","Lancaster County","Lancaster Township",144,1203.77,0.0141,0.0201,0.0101,23387
2019-10-31,"76028","TX","Dallas-Fort Worth-Arlington","Johnson County","Burleson",145,1276.08,0.03,0.0459,0.0018,24880
2019-10-31,"33908","FL","Cape Coral-Fort Myers","Lee County","Fort Myers",146,1769.35,0.0032,-0.0086,0.0378,25490
2019-10-31,"43123","OH","Columbus","Franklin County","Grove City",147,1230.09,-0.0005,-0.0058,-0.0337,23742
2019-10-31,"75056","TX","Dallas-Fort Worth-Arlington","Denton County","The Colony",148,1574.3,0.0097,0.0143,0.0137,21082
